repo	commit_sha	jsonl_rows	sample_count
MultiPaper/MultiPaper	7af143b66299c68a50a7dce3997214ac5cb39c9a	826	5
json-path/JsonPath	62a4c9f0f65ba3f625aa0867d64c528ba72d09ec	1308	7
dreamhead/moco	5ed23ff30d7128487c6ca6fdf595594e5436ef21	1925	11
FXMisc/RichTextFX	99ef5c5a0dc31efc59959fd799ccb42b8ccdfe8d	1920	11
mockito/mockito	9791e19830f967ec6ed0aa9f5aad7a946cc25b97	2631	15
jhy/jsoup	a57f14febb20f7887227598193781a290585a39d	2177	12
redis/jedis	60b6eaa041aac701f5a5c52a410eafc4a9d81c3c	10500	60
spring-cloud/spring-cloud-gateway	2f5c6eb4bd5152576749bddba31e6d985b21ca6a	2780	16
graphhopper/graphhopper	94b348e027610e68f17737b1e4a080f697b15930	2750	15
alibaba/fastjson2	3697c2d37cd659d2a94543093d0d08cb4baf4d73	8400	48
