sample_id,repo,commit_sha,method_uri,jsonl_file,jsonl_line_number,method_identity,doc_refs,call_context,inheritdoc,notes
S011,json-path/JsonPath,62a4c9f0f65ba3f625aa0867d64c528ba72d09ec,json-path/src/main/java/com/jayway/jsonpath/internal/path/PathCompiler.java#com.jayway.jsonpath.internal.path.PathCompiler.readDotToken(com.jayway.jsonpath.internal.path.PathTokenAppender):boolean,jsonl/json-path__JsonPath/method_contexts.jsonl.gz,801,,,,,
S012,json-path/JsonPath,62a4c9f0f65ba3f625aa0867d64c528ba72d09ec,"json-path/src/main/java/com/jayway/jsonpath/internal/path/ScanPathToken.java#com.jayway.jsonpath.internal.path.ScanPathToken$FilterPathTokenPredicate.FilterPathTokenPredicate(com.jayway.jsonpath.internal.path.PathToken,com.jayway.jsonpath.internal.path.EvaluationContextImpl):void",jsonl/json-path__JsonPath/method_contexts.jsonl.gz,876,,,,,
S013,dreamhead/moco,5ed23ff30d7128487c6ca6fdf595594e5436ef21,moco-core/src/main/java/com/github/dreamhead/moco/HttpsCertificate.java#com.github.dreamhead.moco.HttpsCertificate.createServerContext():javax.net.ssl.SSLContext,jsonl/dreamhead__moco/method_contexts.jsonl.gz,39,,,,,
S014,dreamhead/moco,5ed23ff30d7128487c6ca6fdf595594e5436ef21,moco-core/src/main/java/com/github/dreamhead/moco/MocoCors.java#com.github.dreamhead.moco.MocoCors.allowHeaders(java.lang.String[]):com.github.dreamhead.moco.handler.cors.CorsConfig,jsonl/dreamhead__moco/method_contexts.jsonl.gz,173,,,,,
S015,dreamhead/moco,5ed23ff30d7128487c6ca6fdf595594e5436ef21,moco-core/src/main/java/com/github/dreamhead/moco/MocoRequestHit.java#com.github.dreamhead.moco.MocoRequestHit.times(int):com.github.dreamhead.moco.VerificationMode,jsonl/dreamhead__moco/method_contexts.jsonl.gz,215,,,,,
S016,dreamhead/moco,5ed23ff30d7128487c6ca6fdf595594e5436ef21,moco-core/src/main/java/com/github/dreamhead/moco/handler/cors/CorsHeadersConfig.java#com.github.dreamhead.moco.handler.cors.CorsHeadersConfig.isQualified(com.github.dreamhead.moco.HttpRequest):boolean,jsonl/dreamhead__moco/method_contexts.jsonl.gz,502,,,,,
S017,dreamhead/moco,5ed23ff30d7128487c6ca6fdf595594e5436ef21,moco-core/src/main/java/com/github/dreamhead/moco/resource/reader/TemplateResourceReader.java#com.github.dreamhead.moco.resource.reader.TemplateResourceReader$RandomMethod.getFormat(java.util.List):java.util.Optional,jsonl/dreamhead__moco/method_contexts.jsonl.gz,1116,,,,,
S018,dreamhead/moco,5ed23ff30d7128487c6ca6fdf595594e5436ef21,"moco-runner/src/main/java/com/github/dreamhead/moco/MocoJsonRunner.java#com.github.dreamhead.moco.MocoJsonRunner.jsonHttpServer(int,com.github.dreamhead.moco.resource.Resource):com.github.dreamhead.moco.HttpServer",jsonl/dreamhead__moco/method_contexts.jsonl.gz,1467,,,,,
S019,dreamhead/moco,5ed23ff30d7128487c6ca6fdf595594e5436ef21,moco-runner/src/main/java/com/github/dreamhead/moco/parser/RequestMatcherFactory.java#com.github.dreamhead.moco.parser.RequestMatcherFactory.createRequestMatcher(com.github.dreamhead.moco.parser.model.RequestSetting):com.github.dreamhead.moco.RequestMatcher,jsonl/dreamhead__moco/method_contexts.jsonl.gz,1555,,,,,
S020,dreamhead/moco,5ed23ff30d7128487c6ca6fdf595594e5436ef21,moco-runner/src/main/java/com/github/dreamhead/moco/parser/model/FileContainer.java#com.github.dreamhead.moco.parser.model.FileContainer$FileContainerBuilder.build():com.github.dreamhead.moco.parser.model.FileContainer,jsonl/dreamhead__moco/method_contexts.jsonl.gz,1674,,,,,
