repo	build_system	total_edges	edges_with_target_uri	edges_with_method_uri	source_join_rate	unresolved_edges	ambiguous_edges	candidate_edges	project_method_edges	unresolved_project_method_edges	jdk_method_edges	external_method_edges	synthetic_or_compiler_edges	invokedynamic_edges	bytecode_method_edges	missing_target_kind_edges	resolution_counts_json	target_kind_counts_json	unresolved_reason_counts_json
apache/commons-weaver	maven	128	128	46	0.359375	82	0	0	46	12	43	12	7	8	0	0	"{""resolved"": 44, ""resolved_return_mismatch_unique"": 2, ""synthetic_or_compiler_generated"": 7, ""unresolved"": 75}"	"{""external_method"": 12, ""invokedynamic_method"": 8, ""jdk_method"": 43, ""project_method"": 46, ""synthetic_or_compiler_method"": 7, ""unresolved_project_method"": 12}"	"{""external_or_unmodeled_bytecode_method"": 12, ""invokedynamic_or_lambda_bytecode_artifact"": 8, ""jdk_or_platform_method_outside_project_source"": 43, ""project_class_present_method_absent_synthetic_or_compiler_method"": 7, ""project_method_name_present_but_signature_not_unique_or_compatible"": 12}"
java-diff-utils/java-diff-utils	maven	1208	1208	638	0.528146	570	0	0	638	20	504	2	27	17	0	0	"{""resolved"": 638, ""synthetic_or_compiler_generated"": 27, ""unresolved"": 543}"	"{""external_method"": 2, ""invokedynamic_method"": 17, ""jdk_method"": 504, ""project_method"": 638, ""synthetic_or_compiler_method"": 27, ""unresolved_project_method"": 20}"	"{""anonymous_or_local_class_bytecode"": 2, ""external_or_unmodeled_bytecode_method"": 2, ""invokedynamic_or_lambda_bytecode_artifact"": 17, ""jdk_or_platform_method_outside_project_source"": 504, ""nested_bytecode_class_without_unique_source_method"": 25, ""project_class_present_method_absent_bytecode_method_not_selected"": 5, ""project_class_present_method_absent_no_matching_bytecode_method"": 1, ""project_class_present_method_absent_synthetic_or_compiler_method"": 12, ""project_method_name_present_but_signature_not_unique_or_compatible"": 2}"
eirslett/frontend-maven-plugin	maven	373	373	190	0.509383	183	0	0	190	1	127	36	0	19	0	0	"{""resolved"": 190, ""unresolved"": 183}"	"{""external_method"": 36, ""invokedynamic_method"": 19, ""jdk_method"": 127, ""project_method"": 190, ""unresolved_project_method"": 1}"	"{""external_or_unmodeled_bytecode_method"": 36, ""invokedynamic_or_lambda_bytecode_artifact"": 19, ""jdk_or_platform_method_outside_project_source"": 127, ""project_class_present_method_absent_no_matching_bytecode_method"": 1}"
DerekYRC/mini-spring	maven	869	869	504	0.579977	365	0	0	504	21	299	35	7	3	0	0	"{""resolved"": 504, ""synthetic_or_compiler_generated"": 7, ""unresolved"": 358}"	"{""external_method"": 35, ""invokedynamic_method"": 3, ""jdk_method"": 299, ""project_method"": 504, ""synthetic_or_compiler_method"": 7, ""unresolved_project_method"": 21}"	"{""anonymous_or_local_class_bytecode"": 2, ""external_or_unmodeled_bytecode_method"": 35, ""invokedynamic_or_lambda_bytecode_artifact"": 3, ""jdk_or_platform_method_outside_project_source"": 299, ""nested_bytecode_class_without_unique_source_method"": 8, ""project_class_present_method_absent_bytecode_method_not_selected"": 10, ""project_class_present_method_absent_no_matching_bytecode_method"": 1, ""project_class_present_method_absent_synthetic_or_compiler_method"": 7}"
ulisesbocchio/jasypt-spring-boot	maven	46	46	20	0.434783	26	0	0	20	0	18	0	0	8	0	0	"{""resolved"": 20, ""unresolved"": 26}"	"{""invokedynamic_method"": 8, ""jdk_method"": 18, ""project_method"": 20}"	"{""invokedynamic_or_lambda_bytecode_artifact"": 8, ""jdk_or_platform_method_outside_project_source"": 18}"
monkeyWie/proxyee	maven	1178	1178	383	0.325127	795	0	0	383	15	251	485	36	8	0	0	"{""resolved"": 382, ""resolved_return_mismatch_unique"": 1, ""synthetic_or_compiler_generated"": 36, ""unresolved"": 759}"	"{""external_method"": 485, ""invokedynamic_method"": 8, ""jdk_method"": 251, ""project_method"": 383, ""synthetic_or_compiler_method"": 36, ""unresolved_project_method"": 15}"	"{""anonymous_or_local_class_bytecode"": 5, ""external_or_unmodeled_bytecode_method"": 484, ""invokedynamic_or_lambda_bytecode_artifact"": 8, ""jdk_or_platform_method_outside_project_source"": 251, ""nested_bytecode_class_without_unique_source_method"": 18, ""project_class_present_method_absent_bytecode_method_not_selected"": 9, ""project_class_present_method_absent_synthetic_or_compiler_method"": 18, ""project_method_name_present_but_signature_not_unique_or_compatible"": 2}"
devnied/EMV-NFC-Paycard-Enrollment	maven	118	118	48	0.406780	70	0	0	48	7	52	11	0	0	0	0	"{""resolved"": 48, ""unresolved"": 70}"	"{""external_method"": 11, ""jdk_method"": 52, ""project_method"": 48, ""unresolved_project_method"": 7}"	"{""external_or_unmodeled_bytecode_method"": 11, ""jdk_or_platform_method_outside_project_source"": 52, ""nested_bytecode_class_without_unique_source_method"": 1, ""project_class_present_method_absent_enum_generated_method"": 3, ""project_class_present_method_absent_no_matching_bytecode_method"": 3}"
stleary/JSON-java	maven	2706	2706	1751	0.647081	955	0	0	1751	2	953	0	0	0	0	0	"{""resolved"": 1732, ""resolved_return_mismatch_unique"": 19, ""unresolved"": 955}"	"{""jdk_method"": 953, ""project_method"": 1751, ""unresolved_project_method"": 2}"	"{""anonymous_or_local_class_bytecode"": 2, ""jdk_or_platform_method_outside_project_source"": 953}"
apache/commons-dbutils	maven	1046	1046	385	0.368069	661	0	0	385	1	609	0	19	32	0	0	"{""resolved"": 384, ""resolved_return_mismatch_unique"": 1, ""synthetic_or_compiler_generated"": 19, ""unresolved"": 642}"	"{""invokedynamic_method"": 32, ""jdk_method"": 609, ""project_method"": 385, ""synthetic_or_compiler_method"": 19, ""unresolved_project_method"": 1}"	"{""invokedynamic_or_lambda_bytecode_artifact"": 32, ""jdk_or_platform_method_outside_project_source"": 609, ""nested_bytecode_class_without_unique_source_method"": 1, ""project_class_present_method_absent_synthetic_or_compiler_method"": 19}"
apache/commons-pool	maven	1638	1638	807	0.492674	831	0	0	807	89	656	12	34	40	0	0	"{""resolved"": 802, ""resolved_return_mismatch_unique"": 5, ""synthetic_or_compiler_generated"": 34, ""unresolved"": 797}"	"{""external_method"": 12, ""invokedynamic_method"": 40, ""jdk_method"": 656, ""project_method"": 807, ""synthetic_or_compiler_method"": 34, ""unresolved_project_method"": 89}"	"{""external_or_unmodeled_bytecode_method"": 12, ""invokedynamic_or_lambda_bytecode_artifact"": 40, ""jdk_or_platform_method_outside_project_source"": 656, ""nested_bytecode_class_without_unique_source_method"": 20, ""project_class_present_method_absent_no_matching_bytecode_method"": 67, ""project_class_present_method_absent_synthetic_or_compiler_method"": 34, ""project_method_name_present_but_signature_not_unique_or_compatible"": 2}"
